file,domain,formalism,action,input_path,output_path
BufferedInputStream_SynchronizedFill.mop,io,ere,copied,C:\UFPE\Siesta\project_LLM_spec\nl2spec\datasets\raw_mop\io\BufferedInputStream_SynchronizedFill.mop,C:\UFPE\Siesta\project_LLM_spec\nl2spec\datasets\dataset_mop\io\BufferedInputStream_SynchronizedFill.mop
ByteArrayOutputStream_FlushBeforeRetrieve.mop,io,fsm,copied,C:\UFPE\Siesta\project_LLM_spec\nl2spec\datasets\raw_mop\io\ByteArrayOutputStream_FlushBeforeRetrieve.mop,C:\UFPE\Siesta\project_LLM_spec\nl2spec\datasets\dataset_mop\io\ByteArrayOutputStream_FlushBeforeRetrieve.mop
Closeable_MeaninglessClose.mop,io,event,treated,C:\UFPE\Siesta\project_LLM_spec\nl2spec\datasets\raw_mop\io\Closeable_MeaninglessClose.mop,C:\UFPE\Siesta\project_LLM_spec\nl2spec\datasets\dataset_mop\io\Closeable_MeaninglessClose.mop
Closeable_MultipleClose.mop,io,ere,copied,C:\UFPE\Siesta\project_LLM_spec\nl2spec\datasets\raw_mop\io\Closeable_MultipleClose.mop,C:\UFPE\Siesta\project_LLM_spec\nl2spec\datasets\dataset_mop\io\Closeable_MultipleClose.mop
Console_CloseReader.mop,io,ere,copied,C:\UFPE\Siesta\project_LLM_spec\nl2spec\datasets\raw_mop\io\Console_CloseReader.mop,C:\UFPE\Siesta\project_LLM_spec\nl2spec\datasets\dataset_mop\io\Console_CloseReader.mop
Console_CloseWriter.mop,io,ere,copied,C:\UFPE\Siesta\project_LLM_spec\nl2spec\datasets\raw_mop\io\Console_CloseWriter.mop,C:\UFPE\Siesta\project_LLM_spec\nl2spec\datasets\dataset_mop\io\Console_CloseWriter.mop
Console_FillZeroPassword.mop,io,ltl,copied,C:\UFPE\Siesta\project_LLM_spec\nl2spec\datasets\raw_mop\io\Console_FillZeroPassword.mop,C:\UFPE\Siesta\project_LLM_spec\nl2spec\datasets\dataset_mop\io\Console_FillZeroPassword.mop
File_DeleteTempFile.mop,io,ltl,copied,C:\UFPE\Siesta\project_LLM_spec\nl2spec\datasets\raw_mop\io\File_DeleteTempFile.mop,C:\UFPE\Siesta\project_LLM_spec\nl2spec\datasets\dataset_mop\io\File_DeleteTempFile.mop
File_LengthOnDirectory.mop,io,event,treated,C:\UFPE\Siesta\project_LLM_spec\nl2spec\datasets\raw_mop\io\File_LengthOnDirectory.mop,C:\UFPE\Siesta\project_LLM_spec\nl2spec\datasets\dataset_mop\io\File_LengthOnDirectory.mop
InputStream_ManipulateAfterClose.mop,io,ere,copied,C:\UFPE\Siesta\project_LLM_spec\nl2spec\datasets\raw_mop\io\InputStream_ManipulateAfterClose.mop,C:\UFPE\Siesta\project_LLM_spec\nl2spec\datasets\dataset_mop\io\InputStream_ManipulateAfterClose.mop
InputStream_MarkAfterClose.mop,io,ere,copied,C:\UFPE\Siesta\project_LLM_spec\nl2spec\datasets\raw_mop\io\InputStream_MarkAfterClose.mop,C:\UFPE\Siesta\project_LLM_spec\nl2spec\datasets\dataset_mop\io\InputStream_MarkAfterClose.mop
InputStream_MarkReset.mop,io,event,treated,C:\UFPE\Siesta\project_LLM_spec\nl2spec\datasets\raw_mop\io\InputStream_MarkReset.mop,C:\UFPE\Siesta\project_LLM_spec\nl2spec\datasets\dataset_mop\io\InputStream_MarkReset.mop
InputStream_ReadAheadLimit.mop,io,ere,copied,C:\UFPE\Siesta\project_LLM_spec\nl2spec\datasets\raw_mop\io\InputStream_ReadAheadLimit.mop,C:\UFPE\Siesta\project_LLM_spec\nl2spec\datasets\dataset_mop\io\InputStream_ReadAheadLimit.mop
InputStream_UnmarkedReset.mop,io,ere,copied,C:\UFPE\Siesta\project_LLM_spec\nl2spec\datasets\raw_mop\io\InputStream_UnmarkedReset.mop,C:\UFPE\Siesta\project_LLM_spec\nl2spec\datasets\dataset_mop\io\InputStream_UnmarkedReset.mop
ObjectInput_Close.mop,io,ltl,copied,C:\UFPE\Siesta\project_LLM_spec\nl2spec\datasets\raw_mop\io\ObjectInput_Close.mop,C:\UFPE\Siesta\project_LLM_spec\nl2spec\datasets\dataset_mop\io\ObjectInput_Close.mop
ObjectOutput_Close.mop,io,ltl,copied,C:\UFPE\Siesta\project_LLM_spec\nl2spec\datasets\raw_mop\io\ObjectOutput_Close.mop,C:\UFPE\Siesta\project_LLM_spec\nl2spec\datasets\dataset_mop\io\ObjectOutput_Close.mop
ObjectStreamClass_Initialize.mop,io,ltl,copied,C:\UFPE\Siesta\project_LLM_spec\nl2spec\datasets\raw_mop\io\ObjectStreamClass_Initialize.mop,C:\UFPE\Siesta\project_LLM_spec\nl2spec\datasets\dataset_mop\io\ObjectStreamClass_Initialize.mop
OutputStream_ManipulateAfterClose.mop,io,ere,copied,C:\UFPE\Siesta\project_LLM_spec\nl2spec\datasets\raw_mop\io\OutputStream_ManipulateAfterClose.mop,C:\UFPE\Siesta\project_LLM_spec\nl2spec\datasets\dataset_mop\io\OutputStream_ManipulateAfterClose.mop
PipedInputStream_UnconnectedRead.mop,io,fsm,copied,C:\UFPE\Siesta\project_LLM_spec\nl2spec\datasets\raw_mop\io\PipedInputStream_UnconnectedRead.mop,C:\UFPE\Siesta\project_LLM_spec\nl2spec\datasets\dataset_mop\io\PipedInputStream_UnconnectedRead.mop
PipedOutputStream_UnconnectedWrite.mop,io,fsm,copied,C:\UFPE\Siesta\project_LLM_spec\nl2spec\datasets\raw_mop\io\PipedOutputStream_UnconnectedWrite.mop,C:\UFPE\Siesta\project_LLM_spec\nl2spec\datasets\dataset_mop\io\PipedOutputStream_UnconnectedWrite.mop
PipedStream_SingleThread.mop,io,ere,copied,C:\UFPE\Siesta\project_LLM_spec\nl2spec\datasets\raw_mop\io\PipedStream_SingleThread.mop,C:\UFPE\Siesta\project_LLM_spec\nl2spec\datasets\dataset_mop\io\PipedStream_SingleThread.mop
PushbackInputStream_UnreadAheadLimit.mop,io,ere,copied,C:\UFPE\Siesta\project_LLM_spec\nl2spec\datasets\raw_mop\io\PushbackInputStream_UnreadAheadLimit.mop,C:\UFPE\Siesta\project_LLM_spec\nl2spec\datasets\dataset_mop\io\PushbackInputStream_UnreadAheadLimit.mop
RandomAccessFile_ManipulateAfterClose.mop,io,ere,copied,C:\UFPE\Siesta\project_LLM_spec\nl2spec\datasets\raw_mop\io\RandomAccessFile_ManipulateAfterClose.mop,C:\UFPE\Siesta\project_LLM_spec\nl2spec\datasets\dataset_mop\io\RandomAccessFile_ManipulateAfterClose.mop
Reader_ManipulateAfterClose.mop,io,ere,copied,C:\UFPE\Siesta\project_LLM_spec\nl2spec\datasets\raw_mop\io\Reader_ManipulateAfterClose.mop,C:\UFPE\Siesta\project_LLM_spec\nl2spec\datasets\dataset_mop\io\Reader_ManipulateAfterClose.mop
Reader_MarkReset.mop,io,event,treated,C:\UFPE\Siesta\project_LLM_spec\nl2spec\datasets\raw_mop\io\Reader_MarkReset.mop,C:\UFPE\Siesta\project_LLM_spec\nl2spec\datasets\dataset_mop\io\Reader_MarkReset.mop
Reader_ReadAheadLimit.mop,io,ere,copied,C:\UFPE\Siesta\project_LLM_spec\nl2spec\datasets\raw_mop\io\Reader_ReadAheadLimit.mop,C:\UFPE\Siesta\project_LLM_spec\nl2spec\datasets\dataset_mop\io\Reader_ReadAheadLimit.mop
Reader_UnmarkedReset.mop,io,ere,copied,C:\UFPE\Siesta\project_LLM_spec\nl2spec\datasets\raw_mop\io\Reader_UnmarkedReset.mop,C:\UFPE\Siesta\project_LLM_spec\nl2spec\datasets\dataset_mop\io\Reader_UnmarkedReset.mop
Serializable_NoArgConstructor.mop,io,event,treated,C:\UFPE\Siesta\project_LLM_spec\nl2spec\datasets\raw_mop\io\Serializable_NoArgConstructor.mop,C:\UFPE\Siesta\project_LLM_spec\nl2spec\datasets\dataset_mop\io\Serializable_NoArgConstructor.mop
Serializable_UID.mop,io,event,treated,C:\UFPE\Siesta\project_LLM_spec\nl2spec\datasets\raw_mop\io\Serializable_UID.mop,C:\UFPE\Siesta\project_LLM_spec\nl2spec\datasets\dataset_mop\io\Serializable_UID.mop
StreamTokenizer_AccessInvalidField.mop,io,fsm,copied,C:\UFPE\Siesta\project_LLM_spec\nl2spec\datasets\raw_mop\io\StreamTokenizer_AccessInvalidField.mop,C:\UFPE\Siesta\project_LLM_spec\nl2spec\datasets\dataset_mop\io\StreamTokenizer_AccessInvalidField.mop
Writer_ManipulateAfterClose.mop,io,ere,copied,C:\UFPE\Siesta\project_LLM_spec\nl2spec\datasets\raw_mop\io\Writer_ManipulateAfterClose.mop,C:\UFPE\Siesta\project_LLM_spec\nl2spec\datasets\dataset_mop\io\Writer_ManipulateAfterClose.mop
Appendable_ThreadSafe.mop,lang,ere,copied,C:\UFPE\Siesta\project_LLM_spec\nl2spec\datasets\raw_mop\lang\Appendable_ThreadSafe.mop,C:\UFPE\Siesta\project_LLM_spec\nl2spec\datasets\dataset_mop\lang\Appendable_ThreadSafe.mop
Boolean_StaticFactory.mop,lang,event,treated,C:\UFPE\Siesta\project_LLM_spec\nl2spec\datasets\raw_mop\lang\Boolean_StaticFactory.mop,C:\UFPE\Siesta\project_LLM_spec\nl2spec\datasets\dataset_mop\lang\Boolean_StaticFactory.mop
Byte_BadDecodeArg.mop,lang,event,treated,C:\UFPE\Siesta\project_LLM_spec\nl2spec\datasets\raw_mop\lang\Byte_BadDecodeArg.mop,C:\UFPE\Siesta\project_LLM_spec\nl2spec\datasets\dataset_mop\lang\Byte_BadDecodeArg.mop
Byte_BadParsingArgs.mop,lang,event,treated,C:\UFPE\Siesta\project_LLM_spec\nl2spec\datasets\raw_mop\lang\Byte_BadParsingArgs.mop,C:\UFPE\Siesta\project_LLM_spec\nl2spec\datasets\dataset_mop\lang\Byte_BadParsingArgs.mop
Byte_StaticFactory.mop,lang,event,treated,C:\UFPE\Siesta\project_LLM_spec\nl2spec\datasets\raw_mop\lang\Byte_StaticFactory.mop,C:\UFPE\Siesta\project_LLM_spec\nl2spec\datasets\dataset_mop\lang\Byte_StaticFactory.mop
Character_StaticFactory.mop,lang,event,treated,C:\UFPE\Siesta\project_LLM_spec\nl2spec\datasets\raw_mop\lang\Character_StaticFactory.mop,C:\UFPE\Siesta\project_LLM_spec\nl2spec\datasets\dataset_mop\lang\Character_StaticFactory.mop
Character_ValidateChar.mop,lang,event,treated,C:\UFPE\Siesta\project_LLM_spec\nl2spec\datasets\raw_mop\lang\Character_ValidateChar.mop,C:\UFPE\Siesta\project_LLM_spec\nl2spec\datasets\dataset_mop\lang\Character_ValidateChar.mop
CharSequence_NotInMap.mop,lang,event,treated,C:\UFPE\Siesta\project_LLM_spec\nl2spec\datasets\raw_mop\lang\CharSequence_NotInMap.mop,C:\UFPE\Siesta\project_LLM_spec\nl2spec\datasets\dataset_mop\lang\CharSequence_NotInMap.mop
CharSequence_NotInSet.mop,lang,event,treated,C:\UFPE\Siesta\project_LLM_spec\nl2spec\datasets\raw_mop\lang\CharSequence_NotInSet.mop,C:\UFPE\Siesta\project_LLM_spec\nl2spec\datasets\dataset_mop\lang\CharSequence_NotInSet.mop
CharSequence_UndefinedHashCode.mop,lang,event,treated,C:\UFPE\Siesta\project_LLM_spec\nl2spec\datasets\raw_mop\lang\CharSequence_UndefinedHashCode.mop,C:\UFPE\Siesta\project_LLM_spec\nl2spec\datasets\dataset_mop\lang\CharSequence_UndefinedHashCode.mop
ClassLoader_UnsafeClassDefinition.mop,lang,event,treated,C:\UFPE\Siesta\project_LLM_spec\nl2spec\datasets\raw_mop\lang\ClassLoader_UnsafeClassDefinition.mop,C:\UFPE\Siesta\project_LLM_spec\nl2spec\datasets\dataset_mop\lang\ClassLoader_UnsafeClassDefinition.mop
Comparable_CompareToNull.mop,lang,event,treated,C:\UFPE\Siesta\project_LLM_spec\nl2spec\datasets\raw_mop\lang\Comparable_CompareToNull.mop,C:\UFPE\Siesta\project_LLM_spec\nl2spec\datasets\dataset_mop\lang\Comparable_CompareToNull.mop
Comparable_CompareToNullException.mop,lang,event,treated,C:\UFPE\Siesta\project_LLM_spec\nl2spec\datasets\raw_mop\lang\Comparable_CompareToNullException.mop,C:\UFPE\Siesta\project_LLM_spec\nl2spec\datasets\dataset_mop\lang\Comparable_CompareToNullException.mop
Double_StaticFactory.mop,lang,event,treated,C:\UFPE\Siesta\project_LLM_spec\nl2spec\datasets\raw_mop\lang\Double_StaticFactory.mop,C:\UFPE\Siesta\project_LLM_spec\nl2spec\datasets\dataset_mop\lang\Double_StaticFactory.mop
Enum_NoExtraWhiteSpace.mop,lang,event,treated,C:\UFPE\Siesta\project_LLM_spec\nl2spec\datasets\raw_mop\lang\Enum_NoExtraWhiteSpace.mop,C:\UFPE\Siesta\project_LLM_spec\nl2spec\datasets\dataset_mop\lang\Enum_NoExtraWhiteSpace.mop
Enum_NoOrdinal.mop,lang,event,treated,C:\UFPE\Siesta\project_LLM_spec\nl2spec\datasets\raw_mop\lang\Enum_NoOrdinal.mop,C:\UFPE\Siesta\project_LLM_spec\nl2spec\datasets\dataset_mop\lang\Enum_NoOrdinal.mop
Enum_UserFriendlyName.mop,lang,event,treated,C:\UFPE\Siesta\project_LLM_spec\nl2spec\datasets\raw_mop\lang\Enum_UserFriendlyName.mop,C:\UFPE\Siesta\project_LLM_spec\nl2spec\datasets\dataset_mop\lang\Enum_UserFriendlyName.mop
Float_StaticFactory.mop,lang,event,treated,C:\UFPE\Siesta\project_LLM_spec\nl2spec\datasets\raw_mop\lang\Float_StaticFactory.mop,C:\UFPE\Siesta\project_LLM_spec\nl2spec\datasets\dataset_mop\lang\Float_StaticFactory.mop
Integer_BadDecodeArg.mop,lang,event,treated,C:\UFPE\Siesta\project_LLM_spec\nl2spec\datasets\raw_mop\lang\Integer_BadDecodeArg.mop,C:\UFPE\Siesta\project_LLM_spec\nl2spec\datasets\dataset_mop\lang\Integer_BadDecodeArg.mop
Integer_StaticFactory.mop,lang,event,treated,C:\UFPE\Siesta\project_LLM_spec\nl2spec\datasets\raw_mop\lang\Integer_StaticFactory.mop,C:\UFPE\Siesta\project_LLM_spec\nl2spec\datasets\dataset_mop\lang\Integer_StaticFactory.mop
Long_BadDecodeArg.mop,lang,event,treated,C:\UFPE\Siesta\project_LLM_spec\nl2spec\datasets\raw_mop\lang\Long_BadDecodeArg.mop,C:\UFPE\Siesta\project_LLM_spec\nl2spec\datasets\dataset_mop\lang\Long_BadDecodeArg.mop
Long_BadParsingArgs.mop,lang,event,treated,C:\UFPE\Siesta\project_LLM_spec\nl2spec\datasets\raw_mop\lang\Long_BadParsingArgs.mop,C:\UFPE\Siesta\project_LLM_spec\nl2spec\datasets\dataset_mop\lang\Long_BadParsingArgs.mop
Long_StaticFactory.mop,lang,event,treated,C:\UFPE\Siesta\project_LLM_spec\nl2spec\datasets\raw_mop\lang\Long_StaticFactory.mop,C:\UFPE\Siesta\project_LLM_spec\nl2spec\datasets\dataset_mop\lang\Long_StaticFactory.mop
Math_ContendedRandom.mop,lang,ere,copied,C:\UFPE\Siesta\project_LLM_spec\nl2spec\datasets\raw_mop\lang\Math_ContendedRandom.mop,C:\UFPE\Siesta\project_LLM_spec\nl2spec\datasets\dataset_mop\lang\Math_ContendedRandom.mop
Object_MonitorOwner.mop,lang,event,treated,C:\UFPE\Siesta\project_LLM_spec\nl2spec\datasets\raw_mop\lang\Object_MonitorOwner.mop,C:\UFPE\Siesta\project_LLM_spec\nl2spec\datasets\dataset_mop\lang\Object_MonitorOwner.mop
Object_NoClone.mop,lang,event,treated,C:\UFPE\Siesta\project_LLM_spec\nl2spec\datasets\raw_mop\lang\Object_NoClone.mop,C:\UFPE\Siesta\project_LLM_spec\nl2spec\datasets\dataset_mop\lang\Object_NoClone.mop
ProcessBuilder_NullKeyOrValue.mop,lang,ere,copied,C:\UFPE\Siesta\project_LLM_spec\nl2spec\datasets\raw_mop\lang\ProcessBuilder_NullKeyOrValue.mop,C:\UFPE\Siesta\project_LLM_spec\nl2spec\datasets\dataset_mop\lang\ProcessBuilder_NullKeyOrValue.mop
ProcessBuilder_ThreadSafe.mop,lang,ere,copied,C:\UFPE\Siesta\project_LLM_spec\nl2spec\datasets\raw_mop\lang\ProcessBuilder_ThreadSafe.mop,C:\UFPE\Siesta\project_LLM_spec\nl2spec\datasets\dataset_mop\lang\ProcessBuilder_ThreadSafe.mop
Runnable_OverrideRun.mop,lang,event,treated,C:\UFPE\Siesta\project_LLM_spec\nl2spec\datasets\raw_mop\lang\Runnable_OverrideRun.mop,C:\UFPE\Siesta\project_LLM_spec\nl2spec\datasets\dataset_mop\lang\Runnable_OverrideRun.mop
RuntimePermission_NullAction.mop,lang,event,treated,C:\UFPE\Siesta\project_LLM_spec\nl2spec\datasets\raw_mop\lang\RuntimePermission_NullAction.mop,C:\UFPE\Siesta\project_LLM_spec\nl2spec\datasets\dataset_mop\lang\RuntimePermission_NullAction.mop
RuntimePermission_PermName.mop,lang,event,treated,C:\UFPE\Siesta\project_LLM_spec\nl2spec\datasets\raw_mop\lang\RuntimePermission_PermName.mop,C:\UFPE\Siesta\project_LLM_spec\nl2spec\datasets\dataset_mop\lang\RuntimePermission_PermName.mop
SecurityManager_Permission.mop,lang,ere,copied,C:\UFPE\Siesta\project_LLM_spec\nl2spec\datasets\raw_mop\lang\SecurityManager_Permission.mop,C:\UFPE\Siesta\project_LLM_spec\nl2spec\datasets\dataset_mop\lang\SecurityManager_Permission.mop
Short_BadDecodeArg.mop,lang,event,treated,C:\UFPE\Siesta\project_LLM_spec\nl2spec\datasets\raw_mop\lang\Short_BadDecodeArg.mop,C:\UFPE\Siesta\project_LLM_spec\nl2spec\datasets\dataset_mop\lang\Short_BadDecodeArg.mop
Short_BadParsingArgs.mop,lang,event,treated,C:\UFPE\Siesta\project_LLM_spec\nl2spec\datasets\raw_mop\lang\Short_BadParsingArgs.mop,C:\UFPE\Siesta\project_LLM_spec\nl2spec\datasets\dataset_mop\lang\Short_BadParsingArgs.mop
Short_StaticFactory.mop,lang,event,treated,C:\UFPE\Siesta\project_LLM_spec\nl2spec\datasets\raw_mop\lang\Short_StaticFactory.mop,C:\UFPE\Siesta\project_LLM_spec\nl2spec\datasets\dataset_mop\lang\Short_StaticFactory.mop
ShutdownHook_LateRegister.mop,lang,ere,copied,C:\UFPE\Siesta\project_LLM_spec\nl2spec\datasets\raw_mop\lang\ShutdownHook_LateRegister.mop,C:\UFPE\Siesta\project_LLM_spec\nl2spec\datasets\dataset_mop\lang\ShutdownHook_LateRegister.mop
ShutdownHook_PrematureStart.mop,lang,fsm,copied,C:\UFPE\Siesta\project_LLM_spec\nl2spec\datasets\raw_mop\lang\ShutdownHook_PrematureStart.mop,C:\UFPE\Siesta\project_LLM_spec\nl2spec\datasets\dataset_mop\lang\ShutdownHook_PrematureStart.mop
ShutdownHook_SystemExit.mop,lang,fsm,copied,C:\UFPE\Siesta\project_LLM_spec\nl2spec\datasets\raw_mop\lang\ShutdownHook_SystemExit.mop,C:\UFPE\Siesta\project_LLM_spec\nl2spec\datasets\dataset_mop\lang\ShutdownHook_SystemExit.mop
ShutdownHook_UnsafeAWTCall.mop,lang,fsm,copied,C:\UFPE\Siesta\project_LLM_spec\nl2spec\datasets\raw_mop\lang\ShutdownHook_UnsafeAWTCall.mop,C:\UFPE\Siesta\project_LLM_spec\nl2spec\datasets\dataset_mop\lang\ShutdownHook_UnsafeAWTCall.mop
ShutdownHook_UnsafeSwingCall.mop,lang,fsm,copied,C:\UFPE\Siesta\project_LLM_spec\nl2spec\datasets\raw_mop\lang\ShutdownHook_UnsafeSwingCall.mop,C:\UFPE\Siesta\project_LLM_spec\nl2spec\datasets\dataset_mop\lang\ShutdownHook_UnsafeSwingCall.mop
StrictMath_ContendedRandom.mop,lang,ere,copied,C:\UFPE\Siesta\project_LLM_spec\nl2spec\datasets\raw_mop\lang\StrictMath_ContendedRandom.mop,C:\UFPE\Siesta\project_LLM_spec\nl2spec\datasets\dataset_mop\lang\StrictMath_ContendedRandom.mop
String_UseStringBuilder.mop,lang,event,treated,C:\UFPE\Siesta\project_LLM_spec\nl2spec\datasets\raw_mop\lang\String_UseStringBuilder.mop,C:\UFPE\Siesta\project_LLM_spec\nl2spec\datasets\dataset_mop\lang\String_UseStringBuilder.mop
StringBuffer_SingleThreadUsage.mop,lang,ere,copied,C:\UFPE\Siesta\project_LLM_spec\nl2spec\datasets\raw_mop\lang\StringBuffer_SingleThreadUsage.mop,C:\UFPE\Siesta\project_LLM_spec\nl2spec\datasets\dataset_mop\lang\StringBuffer_SingleThreadUsage.mop
StringBuilder_ThreadSafe.mop,lang,ere,copied,C:\UFPE\Siesta\project_LLM_spec\nl2spec\datasets\raw_mop\lang\StringBuilder_ThreadSafe.mop,C:\UFPE\Siesta\project_LLM_spec\nl2spec\datasets\dataset_mop\lang\StringBuilder_ThreadSafe.mop
System_NullArrayCopy.mop,lang,event,treated,C:\UFPE\Siesta\project_LLM_spec\nl2spec\datasets\raw_mop\lang\System_NullArrayCopy.mop,C:\UFPE\Siesta\project_LLM_spec\nl2spec\datasets\dataset_mop\lang\System_NullArrayCopy.mop
System_WrongKeyOrValue.mop,lang,ere,copied,C:\UFPE\Siesta\project_LLM_spec\nl2spec\datasets\raw_mop\lang\System_WrongKeyOrValue.mop,C:\UFPE\Siesta\project_LLM_spec\nl2spec\datasets\dataset_mop\lang\System_WrongKeyOrValue.mop
Thread_SetDaemonBeforeStart.mop,lang,ere,copied,C:\UFPE\Siesta\project_LLM_spec\nl2spec\datasets\raw_mop\lang\Thread_SetDaemonBeforeStart.mop,C:\UFPE\Siesta\project_LLM_spec\nl2spec\datasets\dataset_mop\lang\Thread_SetDaemonBeforeStart.mop
Thread_StartOnce.mop,lang,ere,copied,C:\UFPE\Siesta\project_LLM_spec\nl2spec\datasets\raw_mop\lang\Thread_StartOnce.mop,C:\UFPE\Siesta\project_LLM_spec\nl2spec\datasets\dataset_mop\lang\Thread_StartOnce.mop
Throwable_InitCauseOnce.mop,lang,ere,copied,C:\UFPE\Siesta\project_LLM_spec\nl2spec\datasets\raw_mop\lang\Throwable_InitCauseOnce.mop,C:\UFPE\Siesta\project_LLM_spec\nl2spec\datasets\dataset_mop\lang\Throwable_InitCauseOnce.mop
Authenticator_OverrideGetPasswordAuthentication.mop,net,event,treated,C:\UFPE\Siesta\project_LLM_spec\nl2spec\datasets\raw_mop\net\Authenticator_OverrideGetPasswordAuthentication.mop,C:\UFPE\Siesta\project_LLM_spec\nl2spec\datasets\dataset_mop\net\Authenticator_OverrideGetPasswordAuthentication.mop
ContentHandler_GetContent.mop,net,event,treated,C:\UFPE\Siesta\project_LLM_spec\nl2spec\datasets\raw_mop\net\ContentHandler_GetContent.mop,C:\UFPE\Siesta\project_LLM_spec\nl2spec\datasets\dataset_mop\net\ContentHandler_GetContent.mop
DatagramPacket_Length.mop,net,event,treated,C:\UFPE\Siesta\project_LLM_spec\nl2spec\datasets\raw_mop\net\DatagramPacket_Length.mop,C:\UFPE\Siesta\project_LLM_spec\nl2spec\datasets\dataset_mop\net\DatagramPacket_Length.mop
DatagramPacket_SetLength.mop,net,event,treated,C:\UFPE\Siesta\project_LLM_spec\nl2spec\datasets\raw_mop\net\DatagramPacket_SetLength.mop,C:\UFPE\Siesta\project_LLM_spec\nl2spec\datasets\dataset_mop\net\DatagramPacket_SetLength.mop
DatagramSocket_Port.mop,net,event,treated,C:\UFPE\Siesta\project_LLM_spec\nl2spec\datasets\raw_mop\net\DatagramSocket_Port.mop,C:\UFPE\Siesta\project_LLM_spec\nl2spec\datasets\dataset_mop\net\DatagramSocket_Port.mop
DatagramSocket_SoTimeout.mop,net,event,treated,C:\UFPE\Siesta\project_LLM_spec\nl2spec\datasets\raw_mop\net\DatagramSocket_SoTimeout.mop,C:\UFPE\Siesta\project_LLM_spec\nl2spec\datasets\dataset_mop\net\DatagramSocket_SoTimeout.mop
DatagramSocket_TrafficClass.mop,net,event,treated,C:\UFPE\Siesta\project_LLM_spec\nl2spec\datasets\raw_mop\net\DatagramSocket_TrafficClass.mop,C:\UFPE\Siesta\project_LLM_spec\nl2spec\datasets\dataset_mop\net\DatagramSocket_TrafficClass.mop
HttpCookie_Domain.mop,net,event,treated,C:\UFPE\Siesta\project_LLM_spec\nl2spec\datasets\raw_mop\net\HttpCookie_Domain.mop,C:\UFPE\Siesta\project_LLM_spec\nl2spec\datasets\dataset_mop\net\HttpCookie_Domain.mop
HttpCookie_Name.mop,net,event,treated,C:\UFPE\Siesta\project_LLM_spec\nl2spec\datasets\raw_mop\net\HttpCookie_Name.mop,C:\UFPE\Siesta\project_LLM_spec\nl2spec\datasets\dataset_mop\net\HttpCookie_Name.mop
HttpURLConnection_SetBeforeConnect.mop,net,ere,copied,C:\UFPE\Siesta\project_LLM_spec\nl2spec\datasets\raw_mop\net\HttpURLConnection_SetBeforeConnect.mop,C:\UFPE\Siesta\project_LLM_spec\nl2spec\datasets\dataset_mop\net\HttpURLConnection_SetBeforeConnect.mop
IDN_ToAscii.mop,net,event,treated,C:\UFPE\Siesta\project_LLM_spec\nl2spec\datasets\raw_mop\net\IDN_ToAscii.mop,C:\UFPE\Siesta\project_LLM_spec\nl2spec\datasets\dataset_mop\net\IDN_ToAscii.mop
